Recording,Subject,original unit id,sig_increase_events,sig_decrease_events,insig_events,sig_events
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,65,rewarded,,"both_rewarded, tie, lose, win",rewarded
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,123,,,"lose, rewarded, tie, both_rewarded, win",
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,103,"lose, rewarded",,"both_rewarded, tie, win","lose, rewarded"
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,83,rewarded,win,"both_rewarded, tie, lose","rewarded, win"
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,118,,win,"both_rewarded, tie, lose, rewarded",win
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,106,,,"lose, rewarded, tie, both_rewarded, win",
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,93,,win,"both_rewarded, tie, lose, rewarded",win
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,99,"lose, rewarded",,"both_rewarded, tie, win","lose, rewarded"
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,105,rewarded,,"both_rewarded, tie, lose, win",rewarded
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,87,rewarded,,"both_rewarded, tie, lose, win",rewarded
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,19,"lose, rewarded, win",,"both_rewarded, tie","lose, rewarded, win"
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,9,win,,"both_rewarded, tie, lose, rewarded",win
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,42,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,207,rewarded,,"both_rewarded, tie, lose, win",rewarded
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,262,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,144,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,41,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,162,lose,,"both_rewarded, tie, rewarded, win",lose
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,48,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,45,rewarded,,"both_rewarded, tie, lose, win",rewarded
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,68,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,259,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,153,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,269,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,53,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,168,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,58,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,258,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,14,rewarded,,"both_rewarded, tie, lose, win",rewarded
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,241,,,"lose, rewarded, tie, both_rewarded, win",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,245,rewarded,,"both_rewarded, tie, lose, win",rewarded
