,Recording,Unit number,sig events,not sig events,putative type
0,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,5,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
1,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,10,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
2,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,13,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",interneuron
3,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,17,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
4,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,19,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
5,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,24,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
6,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,33,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
7,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,36,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
8,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,43,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
9,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,50,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
10,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,51,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
11,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,53,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal
12,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,54,['competitive_win'],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal
13,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,55,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
14,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,58,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
15,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,60,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
16,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,65,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
17,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,66,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
18,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,67,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
19,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,69,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
20,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,75,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
21,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,12,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
22,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,15,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
23,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,46,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
24,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,50,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
25,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,51,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
26,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,52,"['competitive_lose', 'competitive_win']","['no_comp_lose', 'no_comp_win']",pyramidal
27,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,58,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
28,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,61,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal
29,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
30,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,2,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
31,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,14,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal
32,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,23,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
33,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,36,[],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
34,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,70,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal
